Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Calcium signaling pathway,1/240,0.6945612005630396,0.73831308721268,0,0,0.8481646033731614,0.3091347928892523,MST1R
KEGG_2021_Human,Chemical carcinogenesis,1/239,0.6930389065507773,0.73831308721268,0,0,0.8517716364896474,0.3123183727119117,UGT2B15
KEGG_2021_Human,Endocytosis,1/252,0.7122561090479999,0.7396505747806152,0,0,0.8071220273544996,0.2738708129675966,DNAJC6
KEGG_2021_Human,Parkinson disease,1/249,0.7079298901978606,0.7396505747806152,0,0,0.8170103092783505,0.2822037068595632,SLC6A3
KEGG_2021_Human,Shigellosis,1/246,0.7035392999563793,0.7396505747806152,0,0,0.8271407532084999,0.2908487772697687,PRKCQ
KEGG_2021_Human,MAPK signaling pathway,1/294,0.7665637066980177,0.789970232093377,0,0,0.6899475739769888,0.183413917748959,TEK
KEGG_2021_Human,MicroRNAs in cancer,1/310,0.7844676289127124,0.8022964386607285,0,0,0.6536883194875388,0.1586828205964515,HOXD10
KEGG_2021_Human,Alzheimer disease,1/369,0.8395000951104792,0.852124156691088,0,0,0.5472321828776333,0.0957375530662712,FZD7
KEGG_2021_Human,Olfactory transduction,1/440,0.8875696015706049,0.8941932553136691,0,0,0.4570603292393678,0.0545128251040425,RGS2
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.9160190310475174,0.9160190310475174,0,0,0.402518201995478,0.0353081472992666,ZNF662
