gene,log2FC,t_stat,p_value,p_adjusted
MMP12,0.4735569702434265,4.605104717254342,5.747257080180572e-06,0.005747257080180573
PFN2,0.4729613363398748,4.598968128603758,5.909334712457835e-06,0.0059093347124578345
DHDH,0.47292444625469054,4.59858811140942,5.919514737535476e-06,0.005919514737535476
COL24A1,0.4728648823663424,4.597974523854029,5.935987308660852e-06,0.005935987308660852
C8A,-0.47204873772216294,-4.589568627639269,6.166138434298037e-06,0.006166138434298037
C10orf91,0.4719449235594998,4.588499583426464,6.196016024032842e-06,0.006196016024032842
CYP4F12,-0.47157789205332246,-4.584720321407646,6.302757794644928e-06,0.006302757794644928
GADD45G,-0.4710274814960462,-4.579053818940471,6.466120131965039e-06,0.006466120131965039
RTP3,-0.47064165239658806,-4.575082372543625,6.58303147553386e-06,0.006583031475533859
ANG,-0.47053443661658156,-4.573978888783237,6.615874640693452e-06,0.006615874640693452
NKAIN1,0.4704982763002611,4.57360673111952,6.626986683542591e-06,0.006626986683542591
DTL,0.46974017872242213,4.565805537531459,6.8640876153483894e-06,0.006864087615348389
ASPA,-0.46904507675362683,-4.5586545394706794,7.08856870837715e-06,0.007088568708377149
PON1,-0.46838472648487994,-4.551862770363311,7.308289883136634e-06,0.007308289883136634
GAGE1,0.46726413144718737,4.540341177722655,7.696064272391312e-06,0.0076960642723913125
KNG1,-0.46673546921161513,-4.534907314220329,7.88573183283208e-06,0.007885731832832081
SOHLH2,0.46656331315153643,4.533138030722516,7.948450848300463e-06,0.007948450848300462
SLC25A15,-0.4658069295210253,-4.525365890857497,8.229681458671068e-06,0.008229681458671069
LOC399959,-0.46569356124687167,-4.5242011703985066,8.272640561514613e-06,0.008272640561514612
E2F5,0.4654312068943525,4.521505994662323,8.372875268317443e-06,0.008372875268317443
SARDH,-0.46518752420780185,-4.519002865999,8.467010929371586e-06,0.008467010929371587
PAFAH1B3,0.4648917679975637,4.515965137042384,8.58261615804152e-06,0.00858261615804152
ADH1C,-0.46478913334949734,-4.514911030901995,8.623084594260762e-06,0.008623084594260762
ABCA9,-0.46448813114247234,-4.511819890632875,8.742815915301168e-06,0.008742815915301167
AURKB,0.4643126813037086,4.510018263749067,8.813333796424476e-06,0.008813333796424476
RDH5,-0.46255173709856034,-4.491942234493745,9.551732459512487e-06,0.009551732459512487
POPDC3,0.462525857352368,4.491676654609615,9.563011543755553e-06,0.009563011543755552
C5orf27,-0.46230083483661066,-4.489367666118924,9.661613369075821e-06,0.009661613369075821
PCK2,-0.4622506820261636,-4.488853087694613,9.683720165119457e-06,0.009683720165119458
CHGA,0.4622326540309838,4.488668101864272,9.691679189092748e-06,0.009691679189092748
ABCC1,0.46197974394140484,4.486073263076331,9.803985739986574e-06,0.009803985739986573
IL8,0.4617651856251298,4.483872079255778,9.900232240518256e-06,0.009900232240518256
